,Time,Raw Data (mV),Averaged data (20 samples)
,8.33536581,-19.35789,-17.860347
,8.33603249,-18.5522,-17.883541
,8.33669916,-16.76687,-17.91055
,8.33736583,-19.63256,-18.016602
,8.3380325,-17.50237,-18.0092775
,8.33869917,-18.18903,-18.0515455
,8.33936585,-18.08832,-18.0677205
,8.34003252,-17.89605,-18.1156345
,8.34069919,-18.82992,-18.1165505
,8.34136586,-17.58476,-18.2045965
,8.34203253,-19.05881,-18.058413
,8.34269921,-16.21754,-17.881711
,8.34336588,-15.72314,-18.059481
,8.34403255,-19.2114,-18.1771295
,8.34469922,-15.42405,-18.041475
,8.34536589,-17.90216,-18.178198
,8.34603257,-15.9978,-18.161718
,8.34669924,-18.13105,-18.2903535
,8.34736591,-20.64882,-18.2306895
,8.34803258,-16.4922,-18.046053
,8.34869925,-19.82177,-18.1270795
,8.34936593,-19.09238,-17.970062
,8.3500326,-18.88791,-17.894681
,8.35069927,-19.48607,-17.8858305
,8.35136594,-18.34773,-17.91406
,8.35203261,-18.51253,-18.022706
,8.35269929,-19.0466,-17.9471725
,8.35336596,-17.91437,-17.9834895
,8.35403263,-20.59084,-18.0732135
,8.3546993,-14.66109,-17.883846
,8.35536597,-15.52477,-18.1911675
,8.35603265,-19.77294,-18.268379
,8.35669932,-18.07611,-18.230536
,8.35736599,-16.49831,-18.2993555
,8.35803266,-18.15851,-18.3962515
,8.35869933,-17.57256,-18.4270755
,8.35936601,-18.57051,-18.285622
,8.36003268,-16.93777,-18.2551035
,8.36069935,-16.95609,-18.3214815
,8.36136602,-18.11273,-18.299813
,8.36203269,-16.68142,-18.182622
,8.36269937,-17.58476,-18.208715
,8.36336604,-18.7109,-18.166142
,8.36403271,-20.05066,-18.0246885
,8.36469938,-20.52065,-17.887813
,8.36536605,-17.00186,-17.7069905
,8.36603273,-19.77294,-17.707601
,8.3666994,-19.70885,-17.624896
,8.36736607,-16.80349,-17.67693
,8.36803274,-20.80752,-17.808465
,8.36869941,-17.069,-17.602923
,8.36936609,-19.01608,-17.8221985
,8.37003276,-19.4525,-17.7675705
,8.37069943,-18.43623,-17.7498695
,8.3713661,-18.77499,-17.795342
